Color,Value,Variable,,,
#7bd608,6.4,CO,,,
#7dd608,6.42,CO,,,
#81d708,6.44,CO,,,
#84d908,6.46,CO,,,
#85d908,6.48,CO,,,
#84d908,6.5,CO,,,
#87da07,6.52,CO,,,
#8ada07,6.54,CO,,,
#88da07,6.56,CO,,,
#8ada07,6.58,CO,,,
#90dc07,6.6,CO,,,
#93dd06,6.62,CO,,,
#94dd06,6.64,CO,,,
#93dd06,6.66,CO,,,
#96dd06,6.68,CO,,,
#99de06,6.7,CO,,,
#97de06,6.72,CO,,,
#99de06,6.74,CO,,,
#a0e106,6.76,CO,,,
#9fe106,6.78,CO,,,
#a3e206,6.8,CO,,,
#a5e306,6.82,CO,,,
#a3e306,6.84,CO,,,
#a5e306,6.86,CO,,,
#a8e405,6.88,CO,,,
#ace505,6.9,CO,,,
#abe505,6.92,CO,,,
#b0e604,6.94,CO,,,
#b5e704,6.96,CO,,,
#b4e704,6.98,CO,,,
#b5e704,7,CO,,,
#b8e904,7.02,CO,,,
#bbea04,7.04,CO,,,
#bcea04,7.06,CO,,,
#bbea04,7.08,CO,,,
#c0eb04,7.1,CO,,,
#c5ec04,7.12,CO,,,
#c4ec04,7.14,CO,,,
#c8ed03,7.16,CO,,,
#cbee03,7.18,CO,,,
#cdee03,7.2,CO,,,
#cbee03,7.22,CO,,,
#cdef03,7.24,CO,,,
#d1f003,7.26,CO,,,
#d0f003,7.28,CO,,,
#d7f203,7.3,CO,,,
#d9f203,7.32,CO,,,
#d7f203,7.34,CO,,,
#daf302,7.36,CO,,,
#ddf402,7.38,CO,,,
#dbf402,7.4,CO,,,
#ddf402,7.42,CO,,,
#e0f502,7.44,CO,,,
